price,condition,grade,sqft_above,sqft_basement,sqft_living15
380000,3,7,880,880,1680
480000,3,7,1040,0,890
410000,4,7,910,500,1130
720000,3,10,3450,0,3350
390000,3,8,2350,0,2350
360000,3,7,1900,0,1870
355000,3,7,1010,1010,1720
356000,3,8,1680,0,1850
315000,3,6,960,0,1570
940000,3,9,1900,240,2020
305000,5,7,2660,0,1590
461000,3,9,1980,790,1900
215000,4,7,1610,0,1950
335000,3,7,765,265,1030
243500,3,7,1980,0,1980
1.10E+06,4,10,3520,0,2520
153000,3,7,1200,0,1350
430000,3,8,1290,290,1570
700000,3,8,1290,290,1570
905000,3,7,2390,910,1950
247500,3,7,1960,0,1750
199000,4,7,1160,0,1160
314000,5,7,1210,600,1650
437500,3,9,2320,0,2550
850830,5,9,1270,800,2200
555000,4,7,1440,540,1610
699950,4,8,2190,0,2570
1.09E+06,3,8,2920,0,2370
290000,3,7,1210,0,1640
375000,4,8,1460,880,2250
460000,4,7,1170,500,1240
188500,4,8,1240,0,1270
680000,4,10,3140,0,2990
470000,4,7,2030,0,2500
597750,3,8,2310,0,1940
570000,5,6,700,560,1380
272500,4,7,1160,380,1540
329950,3,7,1080,1000,2090
480000,3,9,2520,710,2640
740500,3,8,2780,1600,1830
518500,3,8,1590,0,1620
205425,4,6,880,0,1190
171800,3,6,1570,0,1880
535000,4,7,1610,0,1610
660000,3,8,1560,840,2340
391500,3,7,1450,0,1580
395000,3,6,770,0,1710
445000,5,7,1720,380,1850
770000,3,9,2910,0,2700
1.45E+06,3,8,1980,770,3060
445000,3,8,1620,480,2660
260000,3,8,1360,800,2090
822500,5,7,1720,600,1700
430000,3,7,2070,0,1970
212000,4,7,1060,0,1420
660500,3,8,1440,570,2060
784000,3,9,2460,1490,2480
453246,3,8,1390,620,1690
675000,3,9,2140,0,1540
199000,4,7,1320,0,1550
220000,3,7,1010,1010,1750
452000,4,8,1340,1250,1550
382500,3,6,1190,0,1060
519950,3,8,1170,0,1350
665000,3,7,1110,0,1170
527700,4,8,1550,1270,2820
205000,4,7,1010,600,1610
420000,4,7,940,120,1560
500000,4,8,1380,650,2230
921500,4,9,3670,0,2840
890000,3,8,2370,180,2200
430000,3,7,2420,0,1940
258000,4,8,1130,1130,1360
511000,3,7,980,450,1450
532170,3,8,1360,0,1500
560000,3,7,1110,0,1420
282950,4,7,1250,0,1680
2.25E+06,3,12,3540,1640,3160
350000,3,7,700,0,1010
215000,4,7,1180,0,1190
650000,3,9,2500,1460,2640
320000,3,8,1620,1020,1980
247000,3,7,1270,0,1160
320000,4,8,1760,0,1730
255000,3,7,1030,1030,1010
438000,3,7,1780,0,1200
900000,3,10,3400,0,3400
441000,3,7,1160,750,1710
420000,4,7,1010,1010,2110
370000,3,7,1180,400,1640
269950,5,5,700,640,1830
807100,3,9,2680,0,2920
653000,4,8,1610,1070,2480
371500,5,7,1370,0,1770
284000,3,7,1560,0,1070
272000,4,7,1670,490,1930
313000,3,7,1340,0,1480
917500,3,10,2570,1310,3740
673000,4,8,2590,0,2260
425000,3,8,820,300,1590
399950,3,7,1320,650,1280
385000,3,6,1220,0,1200
269950,4,7,1320,630,1950
330000,3,7,1060,290,1540
260000,3,7,1670,0,1670
470000,4,7,1680,700,1410
589000,5,7,2440,0,2290
163500,3,7,1050,0,1050
835000,3,9,2140,990,2260
1.10E+06,4,10,2090,2000,2540
269000,4,8,1100,390,2190
560000,3,8,1900,0,2030
615000,4,6,1330,0,1330
585188,3,8,1430,800,2230
305000,3,7,1220,430,1540
166950,3,6,1190,0,1230
799000,4,8,2140,0,2680
400000,4,7,1420,760,1900
230000,3,7,1060,0,1570
256883,3,8,1690,0,2550
423000,5,7,1130,840,1500
465000,3,8,2150,0,1750
440000,3,7,1910,0,2330
385000,4,7,1350,0,1560
210000,4,6,860,0,1300
297000,3,8,1940,0,2030
470000,3,7,1010,0,1680
226500,4,7,900,400,1430
274250,4,6,910,0,1400
840000,4,9,1630,850,2770
677900,3,8,2440,0,2750
425000,3,7,1010,0,1290
180250,3,6,900,0,1250
464000,3,7,1600,700,1560
320000,3,8,1550,0,1630
625504,3,8,1060,210,1160
592500,3,9,2240,0,2520
465000,3,9,2714,0,2590
477000,3,8,1720,0,2130
280000,3,6,850,0,1100
1.51E+06,3,9,1870,1430,3836
445838,3,8,2250,0,1320
1.07E+06,3,8,1950,1950,2580
467000,4,8,1320,0,2120
686000,3,10,2760,0,3070
279950,3,7,1350,400,1900
527000,3,8,2330,0,1910
325000,4,8,1780,440,2080
328000,3,7,2020,0,2020
390000,5,7,1250,0,1280
479950,3,8,1510,0,1640
264950,4,7,1120,600,1510
235000,4,7,980,450,1960
516500,3,7,1480,0,2250
655000,3,7,1230,220,2030
500000,5,7,2280,0,2280
315000,3,8,1780,1160,2120
213000,3,6,1000,0,1150
475000,5,7,1620,860,2090
1.03E+06,3,10,3760,0,3430
416000,5,7,1640,580,2070
410000,3,7,1670,300,1510
800000,3,10,3530,300,2920
472000,4,9,2350,2060,2600
225000,4,7,1430,0,1190
210000,3,6,830,0,830
455000,2,7,1430,0,1450
225000,4,6,1300,0,1260
480000,4,7,790,240,1390
363000,3,9,2740,0,2570
2.40E+06,3,9,1830,1820,3120
181000,3,6,720,0,1150
250000,4,7,2010,0,2010
481000,4,6,770,790,1390
260000,4,7,1240,570,1750
455000,3,9,3360,0,3060
415000,3,8,1510,0,1730
349500,3,7,800,600,1620
245000,3,7,1730,0,1630
592500,5,7,1420,0,1420
385000,4,7,1180,1180,1910
315000,4,7,1200,380,1550
255000,3,7,1230,0,1380
693000,3,8,2460,0,2990
780000,3,8,1460,200,1660
237000,4,7,1270,0,1600
525000,3,10,1320,780,2380
425000,3,5,770,0,1330
369900,5,5,760,0,1230
290000,4,7,1700,0,1950
285000,3,7,1120,0,1130
415000,3,7,1070,0,1320
272500,3,8,1420,650,2070
2.90E+06,3,11,4750,300,3890
1.37E+06,4,11,5310,0,4180
436000,4,7,1040,0,1440
210000,4,7,1700,0,1350
236000,3,7,1300,0,1320
331000,3,7,580,500,1440
365000,3,8,2653,0,2653
450000,5,8,2290,0,1660
770000,3,9,2850,970,1860
455000,3,8,2210,0,2670
405000,3,6,1240,1150,2020
304900,4,7,1610,990,1720
170000,3,6,860,0,1650
2.05E+06,5,9,2630,1200,3050
780000,3,9,3500,0,3920
330000,4,8,1740,680,2570
370000,3,9,2720,0,2410
467000,3,7,1850,650,2300
405000,3,7,1140,530,1670
675000,3,8,1450,1450,2310
500000,4,7,1140,500,1520
389999,4,7,1890,0,2410
630000,4,8,1780,1170,2120
360000,3,9,2160,0,2280
580000,3,8,2270,1010,2320
550000,5,8,1270,700,2390
879000,3,10,3360,0,3150
265000,3,7,1320,0,1740
446500,3,8,2650,0,2400
404000,3,7,1330,700,2140
267500,3,7,1090,500,1630
3.08E+06,3,10,2600,1950,4550
335000,3,8,2440,0,2510
576000,4,7,970,970,2190
208633,3,8,2040,0,2370
315000,4,7,1120,1080,1460
725000,4,8,960,960,1740
550000,4,8,1400,400,1800
610750,3,8,2180,0,2250
550700,4,6,1010,0,1460
665000,5,8,2220,1100,2720
834000,5,8,1980,390,2440
201000,3,6,1660,0,1660
2.38E+06,5,10,3370,280,2880
1.38E+06,3,11,2690,1600,3860
1.40E+06,3,11,2690,1600,3860
305000,3,8,1350,600,2150
487000,5,8,1720,870,1570
390000,4,8,1930,0,2350
548000,4,7,1170,300,1570
268750,3,6,800,0,1310
819900,3,9,3150,0,1560
520000,3,8,2030,0,2660
230000,3,7,1450,0,1520
240000,3,7,1510,0,1510
232000,3,6,960,280,1820
240500,3,6,960,280,1820
274975,3,9,3030,0,3080
740000,4,9,2050,0,2320
186375,2,7,1000,0,1150
790000,4,9,1590,780,2500
880000,3,9,1890,910,2370
279000,4,7,2240,0,1590
295000,3,8,1810,0,1910
640000,3,7,1070,0,1710
940000,5,9,2490,0,2770
260000,3,7,1960,0,1800
559900,3,9,1860,1070,2580
791500,5,7,1510,0,1820
265000,3,7,1420,0,1740
245000,3,7,1740,0,880
485000,4,7,2560,0,2560
684000,3,9,2420,620,3470
425000,3,8,1300,1200,1580
309600,4,6,1275,0,1660
552250,3,8,2580,0,2380
165000,3,6,1000,0,1020
239900,3,6,1000,0,1020
320000,4,6,1070,0,1360
206600,4,7,1390,0,1720
387000,3,7,1250,1250,2040
299000,3,4,560,0,1300
855000,3,9,2270,0,2610
315000,4,7,1300,600,1940
437500,5,7,790,200,1930
252000,4,7,1050,500,1640
375000,5,7,1100,1100,1600
300000,3,7,1910,0,2010
420000,4,7,1750,0,1750
900000,3,7,1330,0,1340
679900,3,9,1980,460,1520
463000,3,7,1640,0,1580
380000,4,9,2760,0,2470
329500,3,7,1820,0,1820
604950,3,8,1340,770,2040
795000,4,8,1640,1400,2920
465000,3,7,1840,0,1380
673000,3,9,2990,0,2140
810000,3,10,3520,0,3400
785000,4,8,1910,530,2770
338000,3,7,1370,720,1810
280000,3,7,1430,0,1430
315000,5,7,1100,1080,1810
530000,5,7,1100,1080,1810
380000,3,9,3450,0,2860
297000,3,7,1450,0,1650
730000,3,10,3230,0,3480
450000,3,7,1110,530,1770
275000,3,7,1060,530,1680
595000,3,7,2020,0,1910
435000,3,7,1300,0,1590
270000,1,6,1380,0,3130
950000,3,10,3030,1010,3360
389000,3,7,2130,0,2300
560000,3,8,1580,970,2420
1.35E+06,3,11,3480,1320,4050
799000,4,8,2510,0,2450
365500,4,7,1410,0,1410
252350,3,7,1160,490,1710
403950,3,8,2120,0,1880
385000,3,7,1380,660,1610
345000,3,7,1550,0,1450
490000,4,9,1980,0,1950
330000,3,8,1600,0,1790
927000,3,8,3300,0,3180
1.12E+06,4,10,3840,0,3600
330000,5,7,1220,0,2000
530000,4,7,1500,1220,2110
365000,1,8,1940,0,2000
378750,3,7,1260,900,1060
269900,4,7,1530,0,1390
557000,3,8,1290,420,1630
360000,4,7,2150,1580,1880
352000,4,7,940,0,1560
437000,3,8,1750,0,2430
322500,3,7,1820,0,1820
650000,3,9,1330,180,1510
450000,3,8,1290,0,1290
278500,3,7,1570,0,1570
364950,3,8,1930,0,2090
840000,4,10,2840,0,3180
268000,3,7,1550,0,1550
517534,3,5,833,0,1380
632925,4,8,2990,0,2990
577500,3,9,2000,0,2450
339000,3,7,2390,0,2850
570000,4,7,1530,1380,2520
563500,3,7,1610,475,2690
423000,5,7,1290,910,1910
355000,3,8,1860,0,2320
1.55E+06,3,12,6070,0,4680
482000,3,7,950,0,1320
625000,5,7,1600,0,1580
538000,3,8,2250,0,2360
380000,4,8,2280,0,2310
375000,3,7,940,0,1300
245000,5,7,1030,500,1850
310000,4,7,2190,0,1620
1.30E+06,4,8,1770,580,3530
397000,3,7,1200,240,1460
365000,3,8,2200,0,2310
328500,3,9,2290,0,2290
988000,3,11,4040,0,3930
1.00E+06,5,8,1920,690,1810
237000,3,7,1490,0,1490
525000,3,8,2450,0,2300
749000,3,9,1440,270,2140
722500,3,10,3470,1400,3180
843000,3,10,3130,0,2860
438000,3,8,1270,0,1610
578000,3,8,1540,580,2460
227950,5,7,1670,0,2077
196000,3,7,2070,0,1890
641000,3,8,1070,350,2400
350000,4,6,1250,0,1930
205000,4,7,940,0,1150
400000,3,7,1920,0,1920
1.03E+06,3,10,2610,935,3630
505000,3,7,1260,0,1510
475000,3,7,1300,1040,1930
520000,5,8,1440,1150,2580
1.45E+06,3,10,3260,710,2610
333500,3,7,1220,0,1630
232000,4,6,1400,0,1230
691100,4,8,1710,650,2120
811000,4,8,1870,0,1900
551000,3,9,2830,0,2500
496500,3,8,2260,0,2350
705000,4,9,1770,200,2280
578000,5,9,1770,1370,2460
255000,5,7,1240,0,1490
1.05E+06,3,10,3450,0,3220
348000,4,8,2570,0,2400
230000,3,7,1510,0,1570
359500,3,9,2390,0,2480
330000,3,6,980,0,1220
80000,2,4,430,0,1200
465000,3,7,1480,0,1480
325000,3,8,1850,0,2100
340500,4,7,1920,350,1770
342500,3,8,1810,0,1810
290900,3,6,1610,0,1310
868700,3,10,3840,0,3230
1.20E+06,3,9,3130,980,2820
1.15E+06,3,11,3150,1040,4300
859900,3,9,3390,0,3390
520000,3,7,1890,0,1580
460000,3,9,1080,530,1610
438924,3,7,850,200,1770
315000,3,5,630,0,1420
590000,3,8,1780,1130,2920
378500,3,7,850,850,1620
328500,4,9,1950,0,2350
849950,4,8,2990,0,2230
525000,3,7,900,450,1730
1.39E+06,3,9,4860,0,3850
295000,4,8,1460,700,2060
1.07E+06,3,11,3860,1000,3600
207950,3,6,890,0,1860
699900,3,9,2810,0,2820
1.28E+06,4,8,3400,0,3080
452000,4,7,960,620,1560
370000,4,7,1680,0,1680
232000,5,7,1300,0,1300
669950,4,7,2380,440,1910
397500,3,7,1070,440,1660
490000,3,8,870,360,1240
725000,3,9,1710,400,1440
299000,4,7,1610,1470,2424
625000,4,7,1190,300,1590
437500,3,7,2120,0,2530
650000,3,9,3180,0,3030
475000,3,7,860,630,1460
342000,4,8,1930,0,2200
1.20E+06,3,10,2770,0,2720
280000,4,7,1670,0,1930
240000,3,7,1330,0,1450
529000,4,7,1210,0,1640
442000,4,7,1030,160,1690
615000,4,7,820,720,1420
1.49E+06,3,10,4030,0,2160
585000,4,8,1580,850,1980
480000,3,8,2600,0,2830
1.10E+06,4,9,4410,0,2900
290000,3,7,1330,0,1220
615000,5,7,950,950,1770
300000,4,7,1100,0,1460
308000,3,6,1580,400,1860
750000,3,9,2400,0,2080
2.25E+06,5,9,3390,1370,2950
890000,3,10,3180,0,2200
288000,5,6,1190,0,1190
190000,3,6,630,0,1470
515000,3,8,1520,1010,2290
235000,4,5,1690,0,1690
275000,3,6,940,0,940
727500,4,7,1240,0,1380
650000,3,7,3040,0,2740
1.60E+06,3,11,6050,0,4210
365000,3,6,1590,0,1320
662000,3,9,2500,0,2590
270500,3,7,1320,460,1680
200000,3,7,1360,0,1360
970000,3,10,4740,0,3340
160000,4,7,1010,0,1400
204000,4,6,1040,0,1580
358000,4,7,1610,0,1780
452000,3,7,1570,0,1870
595000,4,7,1010,500,1920
249000,3,7,1360,0,1360
346900,3,8,1970,0,2230
2.13E+06,4,12,5403,0,3980
280000,3,7,1560,0,1560
318888,4,8,2270,50,2120
530000,3,8,2120,0,2480
375000,4,8,2120,0,2120
910000,3,11,3350,0,3920
782000,4,10,2380,0,2560
259950,3,9,720,350,1070
315000,4,7,1560,740,1870
215000,4,6,1320,0,1190
705000,4,7,1140,1040,2180
1.45E+06,5,10,3580,800,3080
451000,3,7,1790,0,1520
261000,4,6,750,0,1340
396000,5,7,1300,0,1570
725000,3,9,2990,0,3715
1.95E+06,3,11,2860,1780,3230
238000,3,7,1400,0,1310
750000,4,8,2750,0,2040
331500,3,7,2050,0,2050
460000,3,7,1410,820,1960
404950,4,8,2340,0,2340
880000,3,9,2870,0,1630
863000,3,10,4120,0,3180
638700,3,7,1370,710,1870
435000,3,7,1840,0,1600
260000,4,6,1180,0,1490
671500,5,7,1530,630,2040
610000,3,8,1180,0,1440
405000,4,6,870,290,1870
338900,3,7,1830,0,1830
720000,3,10,3200,0,3480
442000,4,7,1760,800,1080
650000,5,8,2550,0,1590
263500,3,7,1040,290,1330
300000,4,7,1220,0,2010
266000,3,7,1805,0,2095
930000,3,9,4150,1900,2700
530000,3,8,2320,0,2450
180000,4,6,1384,0,1000
619000,3,9,2720,0,3180
264000,4,7,1820,0,1380
730000,4,7,1530,600,2130
439000,3,7,2060,0,2060
268500,4,7,1080,340,1500
330000,3,7,1510,0,1470
640000,3,8,1960,200,2160
900000,4,11,3180,0,3030
370000,4,8,2110,0,2470
685000,5,8,1330,730,1910
505000,3,7,1010,820,2450
265000,4,7,1820,0,2050
290000,3,8,1610,0,1610
296000,3,7,1780,0,2020
360000,3,7,1840,0,1830
240500,3,7,990,470,1220
372500,3,8,1400,0,1540
595000,3,9,3370,0,3330
515000,3,9,3590,0,2860
1.22E+06,4,9,3200,0,3070
507000,3,8,1670,0,2170
399950,3,9,2420,0,2560
185000,3,7,1430,0,1560
460000,3,7,1440,0,1440
435500,3,7,1450,0,1560
469000,5,8,2100,1450,2050
531000,3,8,1110,160,1290
443500,3,7,940,0,1150
223000,3,7,1300,370,1660
590000,3,8,2400,700,2200
340000,3,7,1100,0,1200
650000,4,8,1230,640,1780
533600,4,8,1930,0,2190
695000,3,9,2540,0,2600
242000,4,7,1280,0,1500
425000,3,7,1280,540,1810
525000,3,7,1490,0,1290
485000,3,8,1880,0,2040
175000,3,7,1250,0,1390
210000,3,8,1440,0,1700
260000,3,7,1920,0,1930
577000,3,7,1330,730,1920
200000,4,7,1210,0,1408
605000,4,7,940,820,1530
325000,4,6,990,0,1440
289500,4,6,820,140,1200
559950,3,9,1660,0,1660
1.04E+06,4,8,1330,570,2760
543500,3,7,990,280,1920
480000,4,9,3250,0,3110
218000,5,6,960,0,1080
565000,4,7,960,370,1620
426700,5,7,1600,480,1680
650000,3,8,2130,560,2390
542000,3,7,770,120,1760
415000,3,7,1070,0,1200
214000,4,6,1200,0,1200
245000,5,7,1360,0,1220
314500,3,8,2050,0,2180
1.12E+06,5,9,2000,1000,1820
378000,3,7,800,500,950
305000,3,7,1340,910,1540
595000,4,8,1980,1760,2620
729500,3,9,1530,130,1510
430000,3,7,2360,0,2360
240000,3,7,1150,610,1760
545000,3,7,1680,0,1680
530000,3,7,870,450,1580
157000,3,6,870,0,1250
425000,3,6,1260,0,1170
220000,3,6,1000,0,1300
521000,4,8,1550,470,2520
325000,3,7,1120,800,2000
597500,4,7,1380,770,1940
337000,3,7,1470,0,1490
1.00E+06,3,10,3180,0,3000
3.07E+06,4,8,2330,1600,2730
495000,3,6,990,0,1250
748000,3,8,1970,800,2180
888000,4,7,1250,0,1750
269900,3,7,1140,0,1150
496500,3,7,1550,700,2090
475000,3,7,1640,0,1880
312000,3,7,1255,0,1307
323000,3,7,1290,0,1390
331000,3,7,1300,0,1890
306000,3,8,1220,0,1220
655000,3,8,2630,0,1640
290000,4,8,1950,0,1940
1.25E+06,5,9,2360,800,2220
460000,4,7,860,690,1880
435000,4,7,850,850,1380
664000,5,8,1630,880,2390
865000,4,8,1800,0,2180
385000,3,8,1200,600,1800
497000,3,7,1350,520,2230
280000,4,7,1010,0,1150
188000,3,6,1120,0,1690
478500,3,8,1200,890,1850
1.15E+06,3,11,4370,0,4190
222000,4,7,970,470,1440
799000,3,8,2580,0,3440
609900,3,10,3190,0,3250
413000,4,7,1750,630,1620
400000,3,7,1420,0,1110
802541,3,9,2990,0,2870
320000,3,8,2680,0,2430
507000,3,7,2730,0,2730
387500,3,6,1220,0,1490
396000,3,7,1500,0,1820
373000,3,8,1430,400,2140
1.48E+06,5,10,4570,0,3180
359900,3,8,2470,0,2330
410000,3,6,670,130,1210
690000,3,9,2900,0,2900
245000,3,7,1410,0,1670
700000,5,8,1610,1220,2670
268000,3,7,1100,580,2400
225000,3,7,920,840,1350
980000,3,8,2240,0,2300
795000,3,5,1380,0,1500
195000,3,6,820,0,1170
480000,2,6,1730,450,2180
485000,3,7,1100,300,1630
130000,3,5,880,0,1410
325000,4,6,1060,0,2240
440000,4,7,1530,0,1530
550000,3,8,1460,1020,2910
310000,5,6,1490,0,1350
530000,4,9,3260,400,2700
390000,3,8,2340,0,1970
243000,4,7,1450,0,1210
639000,3,9,2210,0,2440
215000,4,7,1130,0,1540
405000,3,7,1100,450,1420
250000,5,7,1010,700,1770
405500,5,7,1010,0,1300
452000,3,7,2660,0,1120
730000,3,7,2660,0,1120
267000,3,7,1300,0,1430
289950,3,7,1670,0,2390
565000,5,7,960,0,1300
1.58E+06,4,12,4670,0,4230
636000,3,8,1770,370,2510
350000,3,8,1550,970,1700
320000,5,7,1130,520,1720
210000,4,8,1440,0,1320
245000,3,7,1050,0,1280
328000,3,7,1130,340,1590
985000,3,11,4230,0,3890
501000,5,8,1370,600,2460
315000,3,7,1540,0,1560
403000,3,8,2090,0,2280
550000,4,8,2110,270,2030
347500,3,9,2156,0,1708
365000,4,8,2070,0,2390
588000,4,8,1270,640,1500
605000,4,8,1260,660,2360
1.30E+06,4,9,2290,1110,3090
233000,3,7,1400,0,2020
360000,3,8,2210,0,2210
459000,3,6,1020,150,1170
740000,4,9,2100,0,2290
305000,3,7,1160,0,1160
395000,3,6,900,600,950
560000,3,8,2940,0,2510
650000,4,7,1300,710,2180
449950,3,7,2170,0,2010
517500,4,7,1250,180,2210
435000,3,7,1070,440,1450
329999,3,6,800,350,1150
950000,5,8,1140,1010,2510
447000,5,7,1230,140,1370
699800,3,8,2380,0,1870
850000,5,7,770,600,1390
316500,3,7,1070,530,2140
942500,4,9,2030,1720,3270
1.31E+06,3,10,2910,1040,3220
856600,4,9,2400,0,2580
405600,4,8,2830,0,1480
565000,3,8,2440,0,2560
400000,3,8,1050,140,1210
330000,3,7,1400,0,2230
374950,3,7,2730,0,2230
405300,5,7,1610,780,1920
560000,3,8,2060,0,2160
824000,4,8,1290,1200,2360
260000,5,7,1100,0,1400
760000,5,8,1470,960,2180
405000,3,10,2360,810,2970
429900,3,8,2640,0,2240
341500,4,7,1130,0,1320
465250,3,7,1940,0,1940
450000,3,7,1100,0,1390
390000,4,7,1200,0,1370
420000,4,8,1000,1000,2070
269950,3,8,1730,160,1910
493000,3,7,1060,850,1520
370000,3,9,2710,0,2520
2.25E+06,5,10,3100,1760,3150
305000,5,7,1250,0,1450
400000,5,6,970,620,2030
320000,3,8,1050,190,1180
715000,4,7,2000,0,1260
650000,4,8,3610,0,2560
218000,4,8,1930,0,2370
500000,3,7,1280,0,1540
460000,4,7,2090,0,2380
232500,4,7,1140,800,1410
408200,4,7,1800,0,1800
522000,4,7,1400,330,1830
675000,3,9,2810,0,3100
1.36E+06,3,11,2260,1290,4100
249950,3,6,1330,0,1570
210000,3,6,750,0,1460
429950,3,7,1090,670,1180
737500,3,9,3200,0,2930
710000,5,8,1740,0,1850
470000,3,8,2100,0,2100
1.10E+06,4,12,4270,0,3510
650000,3,7,1340,0,2030
1.22E+06,5,9,1680,1510,3160
422120,3,8,1630,0,1380
625000,3,9,2990,0,3150
385200,3,6,1550,0,1220
500000,3,8,1690,0,1800
308000,3,8,1960,0,1910
565000,5,8,1360,1030,2140
581000,3,7,2600,0,2600
361000,3,8,1950,0,2330
345000,4,7,1250,0,1530
419000,3,8,840,340,1310
347000,3,7,1680,0,2160
625000,3,9,2220,0,3000
2.40E+06,3,11,3090,1800,3470
379000,3,8,2660,0,1320
310000,3,7,1150,0,1150
250000,4,6,1130,0,1320
682000,3,9,2760,0,2870
246500,3,7,1430,0,1580
325000,4,5,1490,0,1580
310950,3,8,2030,0,2095
1.10E+06,5,9,1890,1120,2688
287500,4,7,1130,680,1810
431000,4,7,1130,680,1810
226000,3,6,970,0,1290
825000,5,7,1510,500,1600
175000,3,6,1300,0,1240
465750,3,7,1260,0,1800
659000,3,8,2610,0,2550
595000,3,8,1110,800,1630
350000,4,8,1780,0,1780
270000,4,8,1900,0,2120
662500,3,7,1340,1110,1850
249900,4,5,1380,0,1490
324500,4,7,1230,690,1980
430000,3,8,1350,0,1350
419950,3,8,1350,0,1350
285000,4,8,1290,1220,1790
332000,3,8,2470,0,2100
282000,3,7,960,700,1340
320000,3,7,940,400,1020
428750,4,7,1620,0,2440
330000,3,8,2300,0,1760
456500,3,8,2000,0,1440
352000,4,8,1640,0,1870
664000,4,7,1530,0,1860
628000,3,9,2190,1810,2530
512000,3,7,1080,530,1780
254000,4,7,1450,620,1630
535800,3,8,1900,0,2030
287653,4,7,1050,0,1610
438000,3,8,1180,340,1270
450000,3,7,1750,640,1840
327000,3,8,2400,0,2400
370500,3,7,1790,0,1950
265000,3,7,1720,0,1570
450000,4,8,1800,1180,1920
425000,5,8,1520,0,2640
166600,4,7,1150,0,1330
245000,3,5,380,0,1170
565000,3,7,910,0,1520
539900,3,8,1230,420,1930
910000,3,10,2480,0,1980
280000,3,8,2050,0,2050
275000,4,7,1420,0,1560
467000,3,7,3460,0,2490
457500,3,8,1500,0,1730
381156,4,7,1320,0,1270
289999,4,8,1220,960,2050
642450,3,7,1230,600,1950
469950,3,7,1220,400,1600
795000,5,8,1460,1460,2920
785000,3,10,3300,0,2820
860000,3,10,3060,0,3060
1.10E+06,3,7,3064,0,2360
147500,3,7,1530,0,1380
390000,3,7,1410,500,2040
229000,3,7,1020,0,1020
185000,3,6,1150,0,1120
414900,3,7,870,390,1620
200000,2,6,920,1000,1120
225000,3,8,1800,0,2060
720000,5,7,1360,680,1610
930000,5,8,1430,770,2100
1.27E+06,3,7,2160,1040,4090
700000,4,7,1780,620,2100
466000,3,7,1140,0,1170
374000,3,7,1330,0,1460
480000,4,8,1940,0,2810
740000,3,9,3000,0,3000
1.01E+06,3,8,1820,0,1820
395000,3,8,2910,0,2740
340000,3,6,1090,0,1200
209000,3,7,1020,210,1260
431650,3,7,1710,0,1530
980000,4,9,1780,1380,3260
660000,3,9,2680,0,2670
730000,4,8,1840,350,2190
291500,4,7,1260,0,1640
905000,3,9,2340,630,3680
800000,3,10,2570,0,3420
839900,3,9,2560,1250,3230
200000,3,8,950,60,1360
300000,4,7,1080,400,1850
530000,5,7,1250,0,1180
314950,3,7,1654,0,1654
255000,5,7,1410,0,1630
550000,5,7,1500,660,2160
435000,4,6,700,700,1470
234000,4,7,1420,0,1660
615000,3,8,1600,900,2500
205000,3,7,1410,0,1410
384000,4,7,1050,1050,1730
